Date : 2026-05-20 18:57:30
Directory : e:\qt_project\SyncCanvas
Total : 148 files,  12561 codes, 1639 comments, 2441 blanks, all 16641 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\GateServer\src\VerifyGrpcClient.cpp                    | C++        |         63 |          0 |          8 |         71 |
| e:\qt_project\SyncCanvas\LogicServer\CMakeLists.txt                             | CMake      |        133 |          0 |         23 |        156 |
| e:\qt_project\SyncCanvas\LogicServer\CMakePresets.json                          | JSON       |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\ConfigMgr.h            | C++        |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServer.h          | C++        |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServiceImpl.h     | C++        |         27 |          5 |          8 |         40 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlDao.h             | C++        |         16 |          4 |          8 |         28 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlMgr.h             | C++        |         17 |          4 |          3 |         24 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlPool.h            | C++        |         32 |          0 |          8 |         40 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\RedisMgr.h             | C++        |         26 |          3 |          9 |         38 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\Singleton.h            | C++        |         31 |          9 |          5 |         45 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\const.h                | C++        |         19 |         17 |          4 |         40 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\data.h                 | C++        |          9 |          0 |          0 |          9 |
| e:\qt_project\SyncCanvas\LogicServer\src\ConfigMgr.cpp                          | C++        |         40 |          3 |          4 |         47 |
| e:\qt_project\SyncCanvas\LogicServer\src\LogicServer.cpp                        | C++        |         52 |          9 |         10 |         71 |
| e:\qt_project\SyncCanvas\LogicServer\src\LogicServiceImpl.cpp                   | C++        |        195 |         22 |         27 |        244 |
| e:\qt_project\SyncCanvas\LogicServer\src\MysqlDao.cpp                           | C++        |        188 |         17 |         26 |        231 |
| e:\qt_project\SyncCanvas\LogicServer\src\MysqlMgr.cpp                           | C++        |         24 |          2 |          6 |         32 |
| e:\qt_project\SyncCanvas\LogicServer\src\MysqlPool.cpp                          | C++        |        114 |          0 |         18 |        132 |
| e:\qt_project\SyncCanvas\LogicServer\src\RedisMgr.cpp                           | C++        |        163 |         17 |         15 |        195 |
| e:\qt_project\SyncCanvas\README.md                                              | Markdown   |        203 |          0 |         70 |        273 |
| e:\qt_project\SyncCanvas\VerifyServer\config.js                                 | JavaScript |         13 |          4 |          5 |         22 |
| e:\qt_project\SyncCanvas\VerifyServer\config.json                               | JSON       |         17 |          0 |          2 |         19 |
| e:\qt_project\SyncCanvas\VerifyServer\const.js                                  | JavaScript |          7 |          1 |          2 |         10 |
| e:\qt_project\SyncCanvas\VerifyServer\email.js                                  | JavaScript |         25 |          9 |          6 |         40 |
| e:\qt_project\SyncCanvas\VerifyServer\package-lock.json                         | JSON       |        563 |          0 |          1 |        564 |
| e:\qt_project\SyncCanvas\VerifyServer\package.json                              | JSON       |         20 |          0 |          1 |         21 |
| e:\qt_project\SyncCanvas\VerifyServer\proto.js                                  | JavaScript |         10 |          9 |          7 |         26 |
| e:\qt_project\SyncCanvas\VerifyServer\redis.js                                  | JavaScript |         61 |         27 |          3 |         91 |
| e:\qt_project\SyncCanvas\VerifyServer\server.js                                 | JavaScript |         55 |          6 |         13 |         74 |
| Total                                                                           |            |     12,561 |      1,639 |      2,441 |     16,641 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
